26704	Spea intermontana	Great Basin Spadefoot
319989	Cryptotympana atrata	Eastern horse cicada
322927	Gryllus lineaticeps	Variable Field Cricket
325322	Platycleis affinis	Tuberous Bush-cricket
325363	Graptopsaltria nigrofuscata	Large Brown Cicada
326272	Physalaemus biligonigerus	Weeping Frog
326296	Bufo bufo	European Toad
326303	Kaloula pulchra	Asian Painted Frog
326305	Arthroleptis stenodactylus	Common Squeaker
332307	Oecanthus pellucens	Italian Tree Cricket
332407	Pholidoptera aptera	Alpine Dark Bush-cricket
333564	Gomphocerus sibiricus	Club-legged Grasshopper
335580	Chorthippus albomarginatus	Lesser Marsh Grasshopper
338194	Apis cerana	Asian Honey Bee
338215	Chremistica ochracea	Peaceful Cicada
338535	Euchorthippus declivus	Common Straw Grasshopper
347888	Euconocephalus nasutus	Irritating Grasshopper
354713	Gryllotalpa africana	African Molecricket
355995	Tanna japonensis	Evening Cicada
358234	Truljalia hibinonis	Green Tree Cricket
358847	Mogannia formosana	Mogannia formosana
358848	Mogannia hebes	Grass Cicada
359390	Hyalessa maculaticollis	Robust Cicada
360028	Dianemobius fascipes	Dianemobius fascipes
360353	Polyphylla fullo	Pine Chafer
361905	Lyristes plebejus	Common Cicada
362292	Ruspolia nitidula	Large Conehead
362293	Platycleis albopunctata	Grey Bush-cricket
362296	Nemobius sylvestris	Wood Cricket
362307	Stenobothrus lineatus	Stripe-winged Grasshopper
362311	Omocestus rufipes	Woodland Grasshopper
362312	Chorthippus vagans	Heath Grasshopper
362341	Cicadetta montana	New Forest Cicada
362756	Cicada barbara	Cicada barbara
369157	Chalcites minutillus	Little Bronze Cuckoo
369188	Cystosoma schmeltzi	Lesser Bladder Cicada
369803	Ephippiger ephippiger	Saddle-backed Bush Cricket
370399	Tyto javanica	Eastern Barn Owl
371315	Chorthippus biguttulus	Bow-winged Grasshopper
371382	Orchelimum minor	Lesser Pine Katydid
372673	Conocephalus melaenus	Black-kneed Meadow Katydid
397920	Teleogryllus commodus	Australian Black Field Cricket
40308	Myotis dasycneme	pond bat
40446	Vespertilio murinus	Particoloured Bat
40576	Nyctalus lasiopterus	Giant Noctule
40645	Rhinolophus ferrumequinum	Greater Horseshoe Bat
40717	Hipposideros armiger	Great Roundleaf Bat
40811	Epomophorus wahlbergi	Wahlberg's Epauletted Fruit Bat
40812	Epomophorus gambianus	Gambian Epauletted Fruit Bat
40827	Eidolon helvum	Straw-coloured Fruit Bat
40843	Hypsignathus monstrosus	Hammer-headed Fruit Bat
40905	Pteropus poliocephalus	Grey-headed Flying-fox
40908	Pteropus scapulatus	Little Red Flying-fox
40911	Pteropus conspicillatus	Spectacled Flying-fox
40913	Pteropus alecto	Black Flying-fox
41168	Desmodus rotundus	Common Vampire Bat
41298	Tadarida teniotis	European Free-tailed Bat
41337	Saccopteryx bilineata	Greater Sac-winged Bat
41339	Saccopteryx leptura	Lesser Sac-winged Bat
41461	Delphinapterus leucas	Beluga
41478	Eschrichtius robustus	Grey Whale
41482	Tursiops truncatus	Common Bottlenose Dolphin
41494	Stenella coeruleoalba	Striped Dolphin
41503	Stenella frontalis	Atlantic Spotted Dolphin
41521	Orcinus orca	Orca
41529	Globicephala melas	Long-finned Pilot Whale
41539	Pseudorca crassidens	False Killer Whale
